RaceName,AgeGroup,CountyName,Sex,participation,count
Hispanic,30-44,ISABELLA,F,A,34
Unknown,30-44,SAGINAW,M,P,311
Black,45-64,VAN BUREN,F,P,33
Unknown,45-64,MUSKEGON,M,P,287
Hispanic,18-29,CALHOUN,F,A,159
Black,65+,BAY,M,A,4
Caucasian,18-29,MONTCALM,F,A,532
Unknown,30-44,MECOSTA,F,P,22
Caucasian,65+,WAYNE,M,Y,15
Black,18-29,IONIA,F,A,1
Unknown,30-44,MIDLAND,M,P,3
Black,30-44,OTTAWA,M,M,1
Asian,30-44,JACKSON,F,P,27
Caucasian,45-64,ST. JOSEPH,F,M,2
Unknown,65+,MUSKEGON,F,A,51
Unknown,30-44,NEWAYGO,M,P,36
Hispanic,18-29,BERRIEN,M,A,80
Asian,65+,SAGINAW,F,M,1
Black,30-44,OCEANA,F,P,1
Hispanic,45-64,KALKASKA,F,P,1
Black,18-29,NEWAYGO,F,A,10
Native American,18-29,WASHTENAW,F,A,16
Caucasian,45-64,JACKSON,M,E,2
Caucasian,45-64,LAPEER,F,Y,1
Asian,30-44,MACOMB,F,E,14
Caucasian,45-64,HOUGHTON,F,M,1
Native American,65+,ISABELLA,F,A,1
Native American,65+,ST. JOSEPH,M,P,1
Black,45-64,INGHAM,F,Y,1
Caucasian,30-44,MONTCALM,M,P,1279
Caucasian,30-44,ST. CLAIR,F,P,7747
Caucasian,45-64,SAGINAW,M,P,1009
Asian,45-64,MACOMB,M,A,3008
Caucasian,30-44,ONTONAGON,F,A,40
Hispanic,18-29,BAY,F,P,182
Caucasian,30-44,BARRY,M,P,1757
Unknown,45-64,INGHAM,M,P,708
Black,65+,INGHAM,F,P,514
Caucasian,30-44,GENESEE,F,E,38
Hispanic,30-44,ALLEGAN,M,A,257
Caucasian,65+,ALLEGAN,F,M,5
Hispanic,30-44,CLINTON,M,A,30
Caucasian,30-44,MECOSTA,M,A,223
Hispanic,30-44,CLINTON,F,P,161
Black,30-44,LENAWEE,M,P,90
Black,45-64,ANTRIM,M,A,1
Asian,30-44,INGHAM,M,M,27
Native American,65+,MACOMB,M,A,2
Caucasian,45-64,GENESEE,M,Y,8
Caucasian,18-29,ONTONAGON,F,A,11
Caucasian,18-29,BARAGA,M,P,48
Caucasian,65+,EATON,M,M,3
Hispanic,30-44,SANILAC,F,P,36
Asian,45-64,LAPEER,F,P,1
Native American,65+,MACKINAC,M,A,5
Hispanic,18-29,IOSCO,F,A,1
Black,18-29,GENESEE,F,Y,16
Caucasian,30-44,BAY,F,Y,1
Hispanic,45-64,ARENAC,F,A,1
Asian,30-44,MECOSTA,F,P,1
Hispanic,65+,ARENAC,M,P,1
Caucasian,45-64,GENESEE,F,P,3503
Black,30-44,BAY,F,P,316
Black,18-29,KENT,M,P,3065
Caucasian,65+,BAY,M,P,297
Caucasian,45-64,BERRIEN,F,A,1205
Black,45-64,KALAMAZOO,F,P,2700
Caucasian,45-64,OAKLAND,M,M,315
Caucasian,65+,CHIPPEWA,F,A,236
Caucasian,30-44,MACKINAC,F,A,54
Caucasian,65+,HURON,M,A,203
Caucasian,18-29,CHARLEVOIX,M,P,379
Caucasian,65+,OTSEGO,M,P,62
Caucasian,45-64,MENOMINEE,M,P,62
Unknown,45-64,CASS,M,A,10
Unknown,30-44,KALAMAZOO,F,M,1
Unknown,45-64,KALAMAZOO,F,P,481
Black,30-44,KALAMAZOO,M,Y,25
Hispanic,30-44,WAYNE,F,E,14
Caucasian,65+,MANISTEE,F,E,1
Caucasian,45-64,ST. CLAIR,F,Y,9
Hispanic,18-29,MARQUETTE,M,A,40
Unknown,30-44,CHIPPEWA,M,A,5
Caucasian,45-64,EATON,M,M,1
Hispanic,18-29,WASHTENAW,M,Y,36
Unknown,30-44,BENZIE,F,P,2
Caucasian,30-44,LAKE,F,M,1
Black,45-64,MACKINAC,M,P,2
Hispanic,45-64,ALPENA,F,A,1
Caucasian,45-64,VAN BUREN,M,M,1
Black,45-64,CHEBOYGAN,M,P,1
Black,45-64,OSCEOLA,F,A,16
Caucasian,45-64,INGHAM,M,A,2212
Black,30-44,BERRIEN,F,A,2433
Asian,45-64,OAKLAND,F,P,4905
Caucasian,45-64,BAY,F,P,829
Caucasian,30-44,SANILAC,M,P,656
Caucasian,18-29,WASHTENAW,F,A,20345
Caucasian,18-29,IONIA,F,P,1297
Caucasian,30-44,WAYNE,F,M,154
Caucasian,65+,ALPENA,M,A,154
Caucasian,30-44,ALPENA,M,A,163
Caucasian,45-64,WASHTENAW,F,M,35
Black,30-44,ISABELLA,M,A,54
Hispanic,30-44,GRAND TRAVERSE,F,A,23
Unknown,18-29,BRANCH,M,A,17
Caucasian,65+,GENESEE,M,Y,17
Asian,18-29,BERRIEN,M,A,28
Hispanic,18-29,BENZIE,F,P,9
Black,18-29,ST. JOSEPH,M,P,22
Caucasian,18-29,KALAMAZOO,M,Y,9
Unknown,65+,MANISTEE,F,A,4
Caucasian,45-64,SAGINAW,M,M,3
Unknown,30-44,INGHAM,F,A,837
Asian,30-44,WASHTENAW,F,A,2549
Unknown,65+,ST. CLAIR,M,A,49
Black,45-64,OAKLAND,F,E,187
Caucasian,45-64,EMMET,F,P,172
Caucasian,45-64,OSCEOLA,F,P,116
Caucasian,45-64,CHEBOYGAN,M,A,109
Black,30-44,KALAMAZOO,F,A,2711
Hispanic,45-64,MACOMB,F,A,682
Caucasian,30-44,GLADWIN,F,P,761
Caucasian,18-29,MANISTEE,M,A,214
Unknown,45-64,LENAWEE,F,A,17
Caucasian,18-29,WAYNE,M,Y,41
Caucasian,45-64,DELTA,M,A,104
Black,45-64,ALPENA,F,P,1
Black,30-44,BERRIEN,M,Y,2
Hispanic,30-44,CASS,F,P,54
Hispanic,45-64,GRAND TRAVERSE,M,P,14
Hispanic,45-64,CASS,M,A,10
Hispanic,45-64,TUSCOLA,M,A,19
Caucasian,18-29,OTTAWA,F,M,20
Hispanic,18-29,GRATIOT,M,A,12
Caucasian,45-64,MACKINAC,F,E,1
Caucasian,65+,CALHOUN,F,E,7
Black,65+,WAYNE,M,M,54
Hispanic,18-29,GRATIOT,F,A,26
Hispanic,65+,IONIA,F,P,21
Hispanic,65+,LAKE,M,A,4
Hispanic,30-44,CHARLEVOIX,F,A,16
Caucasian,65+,MARQUETTE,F,E,3
Caucasian,30-44,CLARE,F,E,1
Black,30-44,CHARLEVOIX,M,P,1
Black,45-64,MUSKEGON,F,E,4
Unknown,65+,DELTA,M,P,1
Black,45-64,EATON,F,Y,9
Asian,65+,MACOMB,F,A,1073
Black,30-44,INGHAM,M,P,3766
Caucasian,65+,HURON,F,A,340
Hispanic,18-29,WASHTENAW,F,P,807
Caucasian,65+,OSCODA,F,A,68
Caucasian,18-29,ST. JOSEPH,M,A,122
Hispanic,65+,CALHOUN,F,A,94
Hispanic,65+,LENAWEE,F,A,177
Caucasian,18-29,CRAWFORD,F,P,120
Caucasian,30-44,MIDLAND,F,M,12
Caucasian,30-44,WEXFORD,M,A,109
Caucasian,18-29,NEWAYGO,M,A,230
Unknown,30-44,GENESEE,F,A,293
Asian,45-64,MONROE,F,A,3
Caucasian,18-29,EATON,F,E,1
Hispanic,45-64,ROSCOMMON,M,A,4
Unknown,65+,MACKINAC,F,A,1
Hispanic,45-64,MACOMB,M,E,18
Unknown,30-44,DELTA,M,P,10
Caucasian,65+,CLINTON,M,M,2
Native American,30-44,BERRIEN,M,A,1
Hispanic,45-64,MANISTEE,M,P,37
Caucasian,65+,MONTCALM,M,E,1
Caucasian,65+,ALPENA,M,E,2
Hispanic,30-44,DICKINSON,M,P,9
Unknown,18-29,MIDLAND,F,P,45
Hispanic,18-29,BENZIE,M,P,1
Hispanic,30-44,OTTAWA,M,M,9
Caucasian,30-44,BARAGA,F,M,1
Caucasian,30-44,LIVINGSTON,F,A,5570
Black,18-29,KALAMAZOO,F,P,2003
Black,18-29,OAKLAND,F,P,10489
Black,30-44,CLARE,M,P,18
Caucasian,65+,VAN BUREN,F,M,4
Asian,18-29,WASHTENAW,M,P,1239
Caucasian,65+,MACKINAC,F,A,96
Asian,30-44,MACOMB,M,P,3885
Hispanic,30-44,OAKLAND,F,P,2037
Caucasian,18-29,WAYNE,M,E,47
Asian,65+,EATON,M,Y,9
Caucasian,45-64,IRON,M,A,48
Black,65+,CALHOUN,F,P,187
Caucasian,45-64,ARENAC,M,A,44
Asian,30-44,VAN BUREN,F,A,16
Hispanic,45-64,OAKLAND,F,M,26
Caucasian,30-44,KEWEENAW,M,P,15
Black,30-44,MANISTEE,M,A,1
Black,65+,WAYNE,F,Y,148
Black,45-64,ALLEGAN,M,A,10
Hispanic,45-64,ROSCOMMON,F,P,16
Asian,45-64,LIVINGSTON,M,A,15
Black,65+,WASHTENAW,F,Y,10
Caucasian,18-29,OSCODA,M,A,6
Caucasian,18-29,GRAND TRAVERSE,F,M,4
Caucasian,65+,INGHAM,F,E,12
Caucasian,45-64,ALLEGAN,F,E,5
Asian,45-64,MONTCALM,F,A,1
Caucasian,18-29,INGHAM,U,P,20
Caucasian,18-29,ST. CLAIR,F,E,9
Asian,65+,JACKSON,F,P,10
Caucasian,65+,ISABELLA,M,E,9
Asian,45-64,WASHTENAW,U,P,36
Hispanic,30-44,MACOMB,F,E,9
Hispanic,30-44,OTSEGO,M,P,1
Black,45-64,LIVINGSTON,M,A,1
Asian,65+,HOUGHTON,F,M,1
Caucasian,45-64,OGEMAW,M,M,1
Caucasian,45-64,BARRY,F,A,307
Black,30-44,KENT,M,P,6871
Black,65+,WASHTENAW,M,A,920
Caucasian,65+,OAKLAND,F,P,12856
Unknown,18-29,WASHTENAW,M,P,633
Unknown,65+,WAYNE,F,P,539
Unknown,18-29,GRATIOT,F,P,5
Unknown,30-44,KALAMAZOO,F,A,429
Caucasian,65+,LAPEER,M,P,161
Caucasian,30-44,WASHTENAW,M,M,363
Hispanic,18-29,ISABELLA,M,A,36
Black,45-64,LAPEER,F,A,16
Black,45-64,MONROE,F,A,95
Black,30-44,WASHTENAW,M,Y,87
Hispanic,65+,ST. JOSEPH,F,A,6
Caucasian,65+,BERRIEN,M,Y,2
Unknown,65+,SAGINAW,F,P,55
Black,45-64,CLINTON,F,A,55
Asian,45-64,WEXFORD,M,A,16
Caucasian,30-44,CLARE,F,M,3
Hispanic,65+,WASHTENAW,M,P,135
Unknown,30-44,GRAND TRAVERSE,F,P,19
Black,45-64,LIVINGSTON,M,E,16
Caucasian,45-64,VAN BUREN,F,M,2
Hispanic,18-29,OGEMAW,F,P,9
Caucasian,45-64,MARQUETTE,F,M,4
Caucasian,45-64,OTTAWA,M,P,769
Caucasian,65+,ISABELLA,F,P,151
Caucasian,65+,INGHAM,M,P,528
Native American,45-64,GENESEE,F,A,29
Caucasian,45-64,ROSCOMMON,F,P,161
Caucasian,65+,KALKASKA,M,A,73
Caucasian,65+,CRAWFORD,M,A,107
Caucasian,30-44,INGHAM,F,E,85
Caucasian,18-29,ARENAC,M,A,86
Black,65+,CHIPPEWA,M,A,4
Hispanic,65+,VAN BUREN,M,A,24
Hispanic,65+,KALAMAZOO,M,P,142
Hispanic,18-29,GRAND TRAVERSE,F,P,9
Unknown,30-44,SHIAWASSEE,F,P,20
Hispanic,30-44,MONROE,M,A,115
Hispanic,18-29,CASS,F,A,22
Hispanic,30-44,BAY,F,A,234
Asian,45-64,MACOMB,F,E,23
Caucasian,30-44,MASON,M,Y,1
Asian,45-64,ISABELLA,F,A,2
Asian,18-29,MARQUETTE,F,A,5
Unknown,30-44,INGHAM,F,Y,16
Black,65+,GENESEE,F,E,18
Hispanic,30-44,MARQUETTE,M,P,13
Hispanic,18-29,KENT,M,E,9
Hispanic,30-44,CASS,F,A,15
Black,18-29,INGHAM,U,A,25
Asian,65+,MIDLAND,F,P,9
Caucasian,65+,SAGINAW,M,A,1032
Caucasian,45-64,LEELANAU,M,P,90
Caucasian,65+,WAYNE,F,A,17607
Black,45-64,GENESEE,M,A,8129
Caucasian,45-64,MONROE,M,P,1180
Black,45-64,WAYNE,F,E,322
Caucasian,30-44,MACKINAC,F,P,275
Caucasian,45-64,HURON,F,A,205
Unknown,65+,WASHTENAW,F,A,319
Asian,18-29,OAKLAND,F,P,1233
Unknown,45-64,WAYNE,M,A,3037
Caucasian,30-44,MUSKEGON,F,M,28
Asian,18-29,OTTAWA,M,A,166
Caucasian,65+,BENZIE,F,A,294
Hispanic,45-64,WASHTENAW,F,P,620
Black,45-64,LIVINGSTON,F,P,3
Black,45-64,CHIPPEWA,M,A,12
Hispanic,30-44,BAY,M,A,130
Caucasian,65+,EATON,F,E,2
Black,18-29,WEXFORD,F,M,1
Black,45-64,CHEBOYGAN,F,P,5
Caucasian,30-44,MASON,F,E,1
Black,18-29,INGHAM,M,M,1
Caucasian,65+,BRANCH,F,A,248
Unknown,45-64,MACOMB,M,A,1168
Black,18-29,OTTAWA,M,P,187
Caucasian,18-29,NEWAYGO,M,P,665
Caucasian,65+,CHEBOYGAN,M,P,76
Caucasian,30-44,ALGER,M,A,35
Hispanic,18-29,WASHTENAW,F,M,30
Hispanic,30-44,MIDLAND,F,P,71
Black,65+,CLARE,F,A,4
Caucasian,45-64,ONTONAGON,F,A,21
Caucasian,45-64,BERRIEN,F,M,13
Asian,18-29,LIVINGSTON,F,A,2
Caucasian,65+,INGHAM,M,E,7
Native American,45-64,MACOMB,F,P,4
Black,30-44,HURON,F,A,5
Unknown,30-44,MASON,F,A,4
Hispanic,65+,KENT,F,E,11
Unknown,30-44,ST. JOSEPH,M,P,10
Black,18-29,GRAND TRAVERSE,F,A,1
Caucasian,30-44,MASON,F,M,1
Asian,45-64,HURON,M,P,36
Black,45-64,WAYNE,F,A,97520
Caucasian,30-44,GENESEE,F,A,7522
Caucasian,18-29,GRATIOT,M,A,141
Caucasian,45-64,HOUGHTON,F,P,169
Asian,18-29,OAKLAND,M,P,1454
Caucasian,65+,LENAWEE,F,A,1267
Hispanic,45-64,WAYNE,F,P,5369
Caucasian,45-64,VAN BUREN,M,A,269
Caucasian,65+,MONROE,F,Y,26
Black,30-44,INGHAM,F,A,4685
Caucasian,45-64,JACKSON,F,A,1384
Caucasian,30-44,LIVINGSTON,M,M,16
Hispanic,30-44,KALAMAZOO,F,P,1217
Caucasian,65+,OAKLAND,F,E,308
Black,30-44,GENESEE,M,E,66
Black,45-64,LIVINGSTON,F,A,10
Asian,30-44,WEXFORD,M,P,10
Caucasian,18-29,MACOMB,M,M,35
Asian,18-29,BAY,F,A,13
Hispanic,45-64,ST. JOSEPH,M,P,25
Black,45-64,ST. JOSEPH,F,P,56
Black,18-29,WAYNE,F,Y,54
Unknown,30-44,SHIAWASSEE,M,P,18
Asian,65+,SHIAWASSEE,F,P,9
Caucasian,65+,BAY,F,E,3
Hispanic,30-44,HILLSDALE,M,M,1
Black,45-64,MUSKEGON,F,Y,18
Unknown,30-44,NEWAYGO,F,P,18
Unknown,65+,BRANCH,M,P,2
Caucasian,65+,OGEMAW,M,M,1
Hispanic,65+,SAGINAW,M,M,1
Caucasian,45-64,MACOMB,F,A,12507
Caucasian,65+,CALHOUN,F,A,1330
Caucasian,30-44,SANILAC,F,P,1228
Black,30-44,OAKLAND,M,P,19655
Caucasian,30-44,CALHOUN,M,P,4629
Hispanic,30-44,WAYNE,F,P,7325
Caucasian,30-44,KENT,F,M,82
Unknown,30-44,SAGINAW,F,P,377
Unknown,45-64,OAKLAND,M,P,1783
Caucasian,45-64,ANTRIM,M,P,89
Unknown,45-64,WASHTENAW,M,A,822
Hispanic,65+,WAYNE,F,P,1367
Hispanic,45-64,INGHAM,F,A,1785
Unknown,45-64,MUSKEGON,F,P,383
Caucasian,65+,MACOMB,F,E,46
Caucasian,65+,MASON,F,P,153
Black,18-29,LIVINGSTON,M,P,2
Black,18-29,MACOMB,M,M,25
Caucasian,65+,DELTA,F,P,108
Hispanic,45-64,WAYNE,M,E,19
Hispanic,18-29,BRANCH,M,P,3
Hispanic,30-44,MONTCALM,F,P,77
Caucasian,45-64,GENESEE,F,Y,25
Hispanic,18-29,BRANCH,F,P,48
Caucasian,45-64,KEWEENAW,F,A,9
Asian,30-44,OAKLAND,F,M,33
Caucasian,18-29,DICKINSON,M,A,136
Hispanic,65+,ISABELLA,F,A,37
Asian,30-44,HOUGHTON,F,P,9
Unknown,30-44,OAKLAND,M,M,6
Hispanic,65+,SHIAWASSEE,F,A,9
Caucasian,45-64,MIDLAND,F,E,5
Hispanic,45-64,KENT,F,Y,5
Black,18-29,CALHOUN,F,Y,9
Caucasian,65+,DICKINSON,F,Y,1
Black,65+,BERRIEN,M,E,1
Caucasian,45-64,ISABELLA,F,E,3
Caucasian,65+,IOSCO,M,Y,2
Caucasian,65+,MUSKEGON,M,M,7
Unknown,30-44,EMMET,M,A,1
Hispanic,45-64,LIVINGSTON,F,Y,1
Black,18-29,ALGER,M,P,1
Native American,45-64,GENESEE,F,E,1
Unknown,18-29,OCEANA,M,P,1
Hispanic,45-64,KALAMAZOO,F,M,4
Asian,65+,OAKLAND,M,A,12876
Caucasian,18-29,EATON,F,A,1910
Black,18-29,WASHTENAW,F,A,4170
Caucasian,18-29,CALHOUN,M,P,2915
Caucasian,30-44,LAPEER,F,P,3149
Caucasian,18-29,MACKINAC,M,P,49
Caucasian,30-44,BRANCH,M,P,940
Caucasian,18-29,BRANCH,M,A,125
Caucasian,30-44,KALAMAZOO,F,Y,30
Caucasian,65+,OAKLAND,M,E,196
Caucasian,45-64,WAYNE,M,M,44
Black,65+,MACOMB,M,Y,11
Unknown,18-29,WEXFORD,M,A,4
Caucasian,30-44,MACOMB,M,E,48
Unknown,45-64,MECOSTA,F,A,21
Black,65+,BARAGA,M,P,15
Black,65+,VAN BUREN,M,P,15
Unknown,30-44,ALGER,F,P,11
Asian,65+,LIVINGSTON,M,A,32
Unknown,30-44,ANTRIM,M,A,9
Unknown,30-44,HILLSDALE,F,A,25
Asian,65+,BERRIEN,M,P,10
Hispanic,18-29,WAYNE,F,E,4
Native American,30-44,EMMET,F,A,1
Caucasian,18-29,DICKINSON,U,A,1
Caucasian,45-64,KALAMAZOO,F,P,1638
Caucasian,65+,OAKLAND,M,P,11908
Hispanic,30-44,OTTAWA,M,P,2677
Unknown,45-64,MACOMB,F,P,2427
Caucasian,45-64,ANTRIM,F,A,317
Black,45-64,KALKASKA,M,A,16
Hispanic,30-44,BERRIEN,M,P,296
Hispanic,45-64,GENESEE,M,A,425
Caucasian,18-29,MISSAUKEE,F,A,35
Caucasian,45-64,GRAND TRAVERSE,F,E,8
Unknown,30-44,CALHOUN,F,P,370
Caucasian,18-29,INGHAM,M,Y,13
Caucasian,30-44,ST. CLAIR,M,E,11
Caucasian,65+,BRANCH,M,Y,6
Unknown,45-64,LIVINGSTON,M,P,19
Hispanic,18-29,MANISTEE,F,P,10
Black,45-64,MONTCALM,M,A,33
Hispanic,18-29,IONIA,M,A,25
Caucasian,18-29,INGHAM,F,Y,31
Native American,30-44,CRAWFORD,F,P,1
Caucasian,65+,CHIPPEWA,F,M,1
Caucasian,45-64,OTTAWA,M,M,3
Hispanic,45-64,LEELANAU,M,P,19
Hispanic,18-29,MUSKEGON,F,M,1
Asian,45-64,CLINTON,F,P,9
Caucasian,45-64,HURON,F,Y,1
Black,30-44,MACOMB,F,P,26609
Caucasian,30-44,JACKSON,M,A,1509
Caucasian,30-44,LAPEER,M,A,582
Caucasian,65+,KALAMAZOO,F,A,2693
Asian,65+,WAYNE,F,A,1473
Hispanic,30-44,INGHAM,F,A,2128
Caucasian,65+,OAKLAND,F,M,361
Caucasian,65+,OSCEOLA,F,A,115
Hispanic,45-64,MACOMB,M,P,839
Hispanic,18-29,ST. CLAIR,M,P,126
Hispanic,18-29,ST. CLAIR,F,P,116
Caucasian,65+,MACOMB,M,Y,7
Black,30-44,WASHTENAW,F,E,58
Hispanic,30-44,BARRY,M,P,17
Black,30-44,GRATIOT,F,A,21
Unknown,45-64,VAN BUREN,M,P,31
Caucasian,18-29,OSCODA,M,P,79
Unknown,65+,CALHOUN,F,A,24
Unknown,45-64,MIDLAND,F,A,6
Caucasian,30-44,IONIA,M,E,1
Black,65+,CLINTON,F,A,8
Native American,18-29,CHIPPEWA,M,A,1
Caucasian,65+,SANILAC,M,E,1
Black,65+,MARQUETTE,F,A,1
Hispanic,30-44,WASHTENAW,F,P,987
Caucasian,45-64,CLINTON,F,P,430
Black,30-44,OTTAWA,F,P,548
Asian,65+,WAYNE,M,A,2176
Caucasian,18-29,OAKLAND,M,M,73
Caucasian,45-64,ALLEGAN,M,E,6
Caucasian,65+,CASS,M,A,164
Asian,45-64,INGHAM,F,P,484
Caucasian,18-29,ALGER,F,P,56
Black,18-29,WASHTENAW,M,P,3212
Black,30-44,MONROE,F,P,197
Asian,45-64,OTTAWA,F,A,491
Hispanic,65+,KENT,M,P,1041
Unknown,45-64,KENT,M,A,375
Caucasian,45-64,MONROE,F,E,11
Asian,45-64,INGHAM,U,A,1
Unknown,65+,EATON,F,A,37
Hispanic,45-64,GRAND TRAVERSE,F,E,1
Asian,30-44,CALHOUN,M,P,79
Black,65+,GRAND TRAVERSE,F,A,1
Caucasian,45-64,DELTA,F,E,1
Hispanic,65+,BARRY,F,P,9
Black,18-29,INGHAM,F,M,1
Hispanic,18-29,LEELANAU,F,P,19
Caucasian,65+,EMMET,F,E,9
Caucasian,65+,OAKLAND,U,A,9
Hispanic,30-44,CLARE,M,A,10
Black,45-64,OTSEGO,F,P,1
Unknown,45-64,BERRIEN,F,Y,2
Black,45-64,TUSCOLA,F,A,2
Asian,18-29,BRANCH,M,P,9
Asian,65+,MECOSTA,M,A,10
Caucasian,18-29,JACKSON,M,M,16
Hispanic,30-44,BENZIE,M,A,4
Caucasian,30-44,WAYNE,M,A,28765
Unknown,45-64,WASHTENAW,F,A,1272
Caucasian,30-44,NEWAYGO,M,A,313
Black,30-44,KENT,M,E,42
Caucasian,30-44,MONTCALM,F,A,502
Caucasian,30-44,DELTA,F,A,365
Caucasian,65+,WAYNE,F,M,33
Black,18-29,ISABELLA,M,P,175
Caucasian,65+,SANILAC,M,P,88
Unknown,30-44,MARQUETTE,F,P,76
Unknown,30-44,MIDLAND,F,P,29
Caucasian,65+,ALLEGAN,M,E,4
Hispanic,45-64,LEELANAU,M,A,20
Hispanic,30-44,LEELANAU,M,P,41
Caucasian,45-64,ST. CLAIR,M,Y,1
Caucasian,45-64,MUSKEGON,F,M,2
Caucasian,30-44,WEXFORD,M,M,1
Caucasian,45-64,NEWAYGO,F,M,2
Hispanic,65+,JACKSON,F,P,28
Caucasian,65+,GOGEBIC,F,M,10
Caucasian,65+,OTSEGO,M,E,1
Black,65+,HURON,M,A,1
Unknown,18-29,INGHAM,F,M,9
Black,18-29,GENESEE,U,P,1
Caucasian,45-64,BARRY,M,Y,2
Caucasian,30-44,WASHTENAW,F,A,16701
Caucasian,30-44,ANTRIM,M,P,564
Black,18-29,GENESEE,F,P,6658
Caucasian,18-29,SAGINAW,M,A,1640
Caucasian,18-29,MENOMINEE,M,P,165
Hispanic,18-29,SAGINAW,F,P,993
Black,18-29,MONROE,M,P,67
Black,65+,ST. CLAIR,M,A,113
Asian,45-64,EATON,F,P,50
Asian,45-64,OTTAWA,M,A,513
Caucasian,65+,WEXFORD,M,A,104
Black,18-29,JACKSON,F,P,128
Unknown,30-44,GRAND TRAVERSE,M,A,28
Black,30-44,KENT,M,M,19
Hispanic,30-44,MONTCALM,M,P,31
Unknown,30-44,WAYNE,M,Y,5
Hispanic,30-44,LEELANAU,F,P,58
Asian,30-44,KALAMAZOO,M,M,18
Unknown,18-29,MONROE,M,A,2
Caucasian,30-44,CASS,F,M,1
Caucasian,65+,ARENAC,F,M,1
Caucasian,18-29,BARAGA,M,A,22
Caucasian,45-64,OCEANA,F,M,2
Hispanic,30-44,ALPENA,F,A,16
Black,18-29,TUSCOLA,F,A,9
Unknown,45-64,NEWAYGO,M,A,5
Black,45-64,HOUGHTON,M,P,1
Caucasian,30-44,WAYNE,F,P,47358
Caucasian,30-44,MARQUETTE,F,A,1752
Caucasian,30-44,SAGINAW,F,P,6844
Caucasian,30-44,ST. CLAIR,M,A,1957
Unknown,30-44,OAKLAND,F,P,1990
Caucasian,18-29,MONROE,M,P,3289
Caucasian,65+,LEELANAU,M,A,162
Caucasian,45-64,OCEANA,F,P,135
Hispanic,45-64,SAGINAW,M,Y,4
Caucasian,18-29,GRATIOT,F,A,248
Caucasian,65+,MISSAUKEE,F,P,66
Caucasian,18-29,EATON,M,Y,1
Black,45-64,ST. JOSEPH,M,P,108
Caucasian,30-44,OSCEOLA,F,A,101
Black,45-64,PRESQUE ISLE,M,P,1
Caucasian,30-44,KENT,F,E,77
Black,30-44,CLINTON,M,A,89
Black,45-64,IOSCO,M,A,1
Caucasian,30-44,MECOSTA,M,M,5
Black,65+,ALLEGAN,M,P,9
Native American,18-29,MACOMB,F,P,10
Black,30-44,MONROE,F,M,1
Native American,45-64,MARQUETTE,M,A,16
Caucasian,30-44,LENAWEE,M,Y,1
Caucasian,30-44,OTSEGO,M,Y,1
Caucasian,45-64,MARQUETTE,M,M,1
Caucasian,18-29,GRAND TRAVERSE,F,Y,1
Caucasian,45-64,WAYNE,M,P,7866
Caucasian,45-64,VAN BUREN,F,A,563
Caucasian,45-64,JACKSON,F,P,1024
Caucasian,30-44,MONROE,M,P,4408
Caucasian,18-29,ALLEGAN,F,P,2635
Asian,45-64,KALAMAZOO,F,P,172
Caucasian,65+,GRATIOT,F,A,201
Caucasian,65+,MARQUETTE,F,P,134
Caucasian,30-44,HURON,M,A,112
Unknown,65+,MACOMB,F,A,679
Asian,45-64,KENT,M,A,740
Caucasian,65+,SAGINAW,M,E,14
Caucasian,30-44,MECOSTA,M,P,762
Hispanic,18-29,OTTAWA,M,P,2186
Caucasian,30-44,OAKLAND,F,E,324
Caucasian,65+,ALPENA,F,P,76
Unknown,65+,CHIPPEWA,F,A,12
Hispanic,65+,OTTAWA,M,P,543
Asian,45-64,GENESEE,M,P,83
Black,45-64,CLINTON,M,A,19
Black,18-29,EATON,F,A,394
Caucasian,65+,BERRIEN,M,E,1
Caucasian,45-64,MIDLAND,M,M,6
Hispanic,18-29,MARQUETTE,F,A,18
Caucasian,45-64,OGEMAW,F,Y,1
Caucasian,45-64,MONROE,F,Y,26
Hispanic,45-64,OSCEOLA,M,P,1
Native American,45-64,MACKINAC,F,P,40
Caucasian,18-29,MUSKEGON,F,M,6
Black,30-44,LIVINGSTON,M,A,26
Caucasian,45-64,LIVINGSTON,F,M,10
Caucasian,65+,OTSEGO,F,E,2
Unknown,18-29,BAY,M,P,13
Caucasian,45-64,MARQUETTE,M,E,1
Caucasian,30-44,CHIPPEWA,F,M,1
Caucasian,30-44,TUSCOLA,M,E,1
Caucasian,30-44,MUSKEGON,M,Y,3
Hispanic,30-44,ANTRIM,F,P,3
Unknown,65+,TUSCOLA,M,P,1
Caucasian,30-44,DELTA,F,M,2
Unknown,45-64,BERRIEN,M,M,1
Caucasian,18-29,WASHTENAW,M,E,2
Caucasian,65+,TUSCOLA,M,E,1
Caucasian,30-44,OTTAWA,M,A,4958
Caucasian,18-29,BERRIEN,M,P,1841
Caucasian,18-29,HURON,M,P,393
Asian,45-64,WASHTENAW,F,P,1260
Black,18-29,BERRIEN,M,P,706
Caucasian,65+,LIVINGSTON,M,P,291
Caucasian,45-64,GRATIOT,M,A,79
Black,30-44,BERRIEN,M,A,1181
Hispanic,30-44,LENAWEE,M,P,320
Unknown,18-29,OAKLAND,F,P,878
Asian,45-64,GENESEE,M,A,181
Asian,18-29,OTTAWA,F,A,315
Unknown,45-64,CHIPPEWA,F,P,105
Black,18-29,OAKLAND,M,E,4
Unknown,18-29,MARQUETTE,F,A,18
