RaceName,AgeGroup,CountyName,Sex,participation,count
Caucasian,30-44,OTTAWA,M,E,5
Caucasian,45-64,MIDLAND,F,Y,1
Hispanic,30-44,SAGINAW,M,M,18
Black,30-44,GOGEBIC,M,P,1
Hispanic,65+,WEXFORD,F,A,1
Caucasian,45-64,IOSCO,F,M,1
Caucasian,30-44,HOUGHTON,F,Y,1
Hispanic,65+,WEXFORD,M,P,1
Unknown,18-29,IOSCO,F,A,1
Caucasian,45-64,WAYNE,F,A,16443
Caucasian,30-44,MACOMB,M,A,18633
Black,30-44,GENESEE,F,A,9224
Caucasian,65+,WASHTENAW,M,A,3076
Caucasian,65+,MUSKEGON,F,A,1817
Hispanic,30-44,INGHAM,F,P,2864
Caucasian,30-44,EATON,M,P,3142
Caucasian,18-29,LAPEER,F,P,2005
Caucasian,18-29,MARQUETTE,M,P,2187
Asian,30-44,OAKLAND,F,P,2482
Black,45-64,WAYNE,F,M,41
Caucasian,18-29,VAN BUREN,M,P,901
Caucasian,45-64,HILLSDALE,M,A,138
Unknown,65+,ISABELLA,M,A,41
Caucasian,65+,ALPENA,M,P,75
Black,65+,CLINTON,M,P,2
Asian,45-64,KALAMAZOO,F,A,171
Caucasian,30-44,WASHTENAW,F,E,146
Caucasian,65+,OSCEOLA,M,A,64
Caucasian,45-64,SCHOOLCRAFT,M,P,13
Black,45-64,CALHOUN,F,Y,1
Caucasian,45-64,KENT,M,E,12
Black,18-29,VAN BUREN,F,A,6
Hispanic,18-29,BENZIE,F,A,2
Hispanic,45-64,SHIAWASSEE,F,A,3
Hispanic,18-29,OSCEOLA,F,P,10
Caucasian,30-44,GRATIOT,M,M,2
Unknown,30-44,CLARE,F,P,9
Hispanic,18-29,SANILAC,M,A,1
Caucasian,30-44,ARENAC,F,M,1
Caucasian,45-64,GRATIOT,F,E,1
Caucasian,30-44,MUSKEGON,F,Y,4
Black,30-44,ST. CLAIR,M,Y,9
Caucasian,30-44,INGHAM,M,P,12072
Caucasian,65+,ALLEGAN,M,P,190
Asian,30-44,BERRIEN,F,M,2
Hispanic,30-44,JACKSON,F,Y,1
Caucasian,65+,GLADWIN,M,A,181
Asian,65+,KENT,F,A,230
Caucasian,18-29,OAKLAND,F,M,89
Unknown,30-44,ISABELLA,F,P,92
Hispanic,65+,ALLEGAN,M,P,44
Caucasian,18-29,BRANCH,F,A,144
Unknown,45-64,CASS,F,P,23
Caucasian,65+,ALLEGAN,F,E,7
Hispanic,65+,GRATIOT,F,A,5
Hispanic,65+,NEWAYGO,F,P,27
Hispanic,18-29,MECOSTA,F,A,10
Black,65+,TUSCOLA,F,P,18
Unknown,45-64,ARENAC,F,P,1
Unknown,45-64,SHIAWASSEE,F,A,2
Caucasian,45-64,CASS,M,M,2
Asian,18-29,WASHTENAW,M,E,9
Unknown,30-44,LUCE,F,P,10
Hispanic,30-44,CHIPPEWA,M,M,1
Black,45-64,MIDLAND,F,E,1
Hispanic,65+,OTTAWA,M,E,1
Caucasian,18-29,ALLEGAN,F,M,4
Caucasian,30-44,OAKLAND,M,P,40647
Caucasian,30-44,KENT,M,A,16338
Caucasian,18-29,SAGINAW,M,P,3517
Black,18-29,BERRIEN,F,A,628
Caucasian,30-44,SHIAWASSEE,F,A,788
Caucasian,45-64,ROSCOMMON,M,A,107
Hispanic,30-44,ST. JOSEPH,M,A,71
Caucasian,30-44,IONIA,M,A,615
Black,45-64,VAN BUREN,F,A,79
Native American,45-64,KENT,F,P,36
Black,65+,ALLEGAN,M,A,1
Caucasian,30-44,BRANCH,M,A,102
Caucasian,30-44,MONTMORENCY,M,A,34
Asian,30-44,MUSKEGON,M,P,18
Black,45-64,SAGINAW,F,Y,65
Black,45-64,ALLEGAN,F,A,2
Hispanic,45-64,OTTAWA,M,M,2
Unknown,30-44,VAN BUREN,M,A,10
Caucasian,30-44,MECOSTA,M,E,5
Hispanic,45-64,WASHTENAW,M,Y,9
Asian,45-64,SCHOOLCRAFT,F,A,1
Hispanic,18-29,BARRY,F,A,22
Native American,30-44,MUSKEGON,F,A,1
Black,30-44,BENZIE,F,P,9
Hispanic,45-64,ALPENA,F,P,10
Caucasian,65+,BARRY,F,E,4
Caucasian,18-29,LIVINGSTON,U,P,9
Caucasian,18-29,MARQUETTE,M,Y,4
Asian,18-29,WASHTENAW,U,P,4
Black,65+,GOGEBIC,F,A,9
Black,65+,GENESEE,M,P,2511
Caucasian,30-44,HOUGHTON,F,P,1033
Caucasian,18-29,BAY,F,A,1726
Caucasian,18-29,BARRY,M,A,361
Unknown,30-44,BERRIEN,F,A,121
Black,45-64,MONTMORENCY,F,P,1
Black,65+,KALAMAZOO,M,P,247
